algoritmo,tamanho,execucao,energia_joules,duracao_s,user_time_s,system_time_s,potencia_media_w,energia_por_elemento_j
bolha,10000,1,"1,21","0,111786","0,1",0,"10,8243","0,000121"
bolha,10000,2,"0,96","0,078501","0,07",0,"12,2292","0,000096"
bolha,10000,3,"1,2","0,096928","0,09",0,"12,3803","0,00012"
bolha,10000,4,1,"0,079039","0,07",0,"12,6521","0,0001"
bolha,10000,5,"1,57","0,130216","0,12",0,"12,0569","0,000157"
bolha,10000,6,"1,37","0,111222","0,1",0,"12,3177","0,000137"
bolha,10000,7,"1,05","0,083174","0,08",0,"12,6241","0,000105"
bolha,10000,8,"0,92","0,073738","0,07",0,"12,4766","0,000092"
bolha,10000,9,"1,41","0,115596","0,11",0,"12,1976","0,000141"
bolha,10000,10,"0,91","0,072647","0,07",0,"12,5263","0,000091"
bolha,50000,1,"42,28","3,417332","3,42",0,"12,3722","0,0008456"
bolha,50000,2,"42,82","3,406646","3,41",0,"12,5695","0,0008564"
bolha,50000,3,"42,94","3,395952","3,4",0,"12,6445","0,0008588"
bolha,50000,4,"43,09","3,384912","3,38",0,"12,73","0,0008618"
bolha,50000,5,"44,46","3,39648","3,4",0,"13,09","0,0008892"
bolha,50000,6,"43,87","3,389253","3,39",0,"12,9439","0,0008774"
bolha,50000,7,"43,17","3,400866","3,4",0,"12,6938","0,0008634"
bolha,50000,8,"44,41","3,428703","3,42",0,"12,9524","0,0008882"
bolha,50000,9,"45,1","3,390644","3,39",0,"13,3013","0,000902"
bolha,50000,10,"45,51","3,396706","3,4",0,"13,3983","0,0009102"
bolha,100000,1,"185,89","14,471314","14,5","0,01","12,8454","0,0018589"
bolha,100000,2,"194,25","14,490107","14,52",0,"13,4057","0,0019425"
bolha,100000,3,"184,95","14,474412","14,51","0,01","12,7777","0,0018495"
bolha,100000,4,"191,6","14,555653","14,58","0,01","13,1633","0,001916"
bolha,100000,5,"190,85","14,455198","14,48","0,01","13,2029","0,0019085"
bolha,100000,6,"189,19","14,588166","14,62","0,01","12,9687","0,0018919"
bolha,100000,7,"185,14","14,549192","14,58",0,"12,7251","0,0018514"
bolha,100000,8,"192,9","14,536104","14,57","0,01","13,2704","0,001929"
bolha,100000,9,"189,79","14,520489","14,55","0,01","13,0705","0,0018979"
bolha,100000,10,"186,65","14,605017","14,63","0,01","12,7799","0,0018665"
bolha_better,10000,1,"0,88","0,079095","0,06",0,"11,1258","0,000088"
bolha_better,10000,2,"0,83","0,060853","0,05",0,"13,6394","0,000083"
bolha_better,10000,3,"0,78","0,055617","0,05",0,"14,0246","0,000078"
bolha_better,10000,4,"0,8","0,055673","0,05",0,"14,3697","0,00008"
bolha_better,10000,5,"0,87","0,061542","0,06",0,"14,1366","0,000087"
bolha_better,10000,6,"0,82","0,056369","0,05",0,"14,5471","0,000082"
bolha_better,10000,7,"0,8","0,055226","0,05",0,"14,4859","0,00008"
bolha_better,10000,8,"0,93","0,064957","0,06",0,"14,3172","0,000093"
bolha_better,10000,9,"0,79","0,055212","0,05",0,"14,3085","0,000079"
bolha_better,10000,10,"0,86","0,059058","0,05",0,"14,562","0,000086"
bolha_better,50000,1,"40,29","2,838676","2,84",0,"14,1932","0,0008058"
bolha_better,50000,2,"39,38","2,824778","2,82",0,"13,9409","0,0007876"
bolha_better,50000,3,"39,25","2,819382","2,82",0,"13,9215","0,000785"
bolha_better,50000,4,"40,23","2,824914","2,83",0,"14,2411","0,0008046"
bolha_better,50000,5,"39,32","2,827465","2,82",0,"13,9064","0,0007864"
bolha_better,50000,6,"39,37","2,822453","2,82",0,"13,9489","0,0007874"
bolha_better,50000,7,"40,41","2,828969","2,83",0,"14,2844","0,0008082"
bolha_better,50000,8,"38,81","2,83274","2,83",0,"13,7005","0,0007762"
bolha_better,50000,9,"40,31","2,825105","2,82",0,"14,2685","0,0008062"
bolha_better,50000,10,"38,9","2,826483","2,83",0,"13,7627","0,000778"
bolha_better,100000,1,"174,63","12,406445","12,43",0,"14,0757","0,0017463"
bolha_better,100000,2,"170,06","12,231086","12,25","0,01","13,9039","0,0017006"
bolha_better,100000,3,"173,78","12,321673","12,35",0,"14,1036","0,0017378"
bolha_better,100000,4,"173,03","12,286994","12,31","0,01","14,0824","0,0017303"
bolha_better,100000,5,"174,31","12,340031","12,36","0,01","14,1256","0,0017431"
bolha_better,100000,6,"173,41","12,326484","12,35","0,01","14,0681","0,0017341"
bolha_better,100000,7,"171,53","12,219825","12,24",0,"14,037","0,0017153"
bolha_better,100000,8,"165,37","12,274695","12,28","0,01","13,4724","0,0016537"
bolha_better,100000,9,"173,96","12,316272","12,34","0,01","14,1244","0,0017396"
