tipo;algoritmo;linguagem;variante;tamanho;execucao;energia_j;energia_j_desvio;energia_cores_j;energia_ram_j;duracao_s;duracao_s_desvio;user_time_s;system_time_s;potencia_w;energia_por_elemento_j
exec;bolha;go;v1;10;1;0,040000;NA;0,030000;0,010000;0,004529;NA;0,003000;0,000000;8,8311;0,004000000
exec;bolha;go;v1;10;2;0,020000;NA;0,010000;0,010000;0,003716;NA;0,000000;0,002000;5,3827;0,002000000
exec;bolha;go;v1;10;3;0,020000;NA;0,020000;0,010000;0,004025;NA;0,003000;0,000000;4,9691;0,002000000
exec;bolha;go;v1;10;4;0,030000;NA;0,020000;0,010000;0,003910;NA;0,002000;0,000000;7,6725;0,003000000
exec;bolha;go;v1;10;5;0,030000;NA;0,020000;0,010000;0,003994;NA;0,000000;0,002000;7,5116;0,003000000
exec;bolha;go;v1;10;6;0,030000;NA;0,020000;0,010000;0,003952;NA;0,000000;0,002000;7,5913;0,003000000
exec;bolha;go;v1;10;7;0,030000;NA;0,020000;0,010000;0,004099;NA;0,002000;0,000000;7,3185;0,003000000
exec;bolha;go;v1;10;8;0,030000;NA;0,020000;0,010000;0,004074;NA;0,000000;0,002000;7,3640;0,003000000
exec;bolha;go;v1;10;9;0,030000;NA;0,020000;0,010000;0,003632;NA;0,002000;0,000000;8,2594;0,003000000
exec;bolha;go;v1;10;10;0,020000;NA;0,020000;0,010000;0,003751;NA;0,002000;0,000000;5,3325;0,002000000
exec;bolha;go;v1;100;1;0,020000;NA;0,020000;0,010000;0,004204;NA;0,000000;0,003000;4,7576;0,000200000
exec;bolha;go;v1;100;2;0,020000;NA;0,020000;0,010000;0,003588;NA;0,000000;0,002000;5,5739;0,000200000
exec;bolha;go;v1;100;3;0,030000;NA;0,020000;0,010000;0,003894;NA;0,002000;0,000000;7,7039;0,000300000
exec;bolha;go;v1;100;4;0,020000;NA;0,010000;0,010000;0,003592;NA;0,002000;0,000000;5,5678;0,000200000
exec;bolha;go;v1;100;5;0,040000;NA;0,030000;0,010000;0,004935;NA;0,003000;0,000000;8,1046;0,000400000
exec;bolha;go;v1;100;6;0,020000;NA;0,010000;0,010000;0,003789;NA;0,002000;0,000000;5,2779;0,000200000
exec;bolha;go;v1;100;7;0,030000;NA;0,020000;0,010000;0,003624;NA;0,000000;0,002000;8,2784;0,000300000
exec;bolha;go;v1;100;8;0,020000;NA;0,010000;0,010000;0,003793;NA;0,002000;0,000000;5,2724;0,000200000
exec;bolha;go;v1;100;9;0,020000;NA;0,020000;0,010000;0,003526;NA;0,002000;0,000000;5,6714;0,000200000
exec;bolha;go;v1;100;10;0,020000;NA;0,020000;0,010000;0,003504;NA;0,000000;0,002000;5,7078;0,000200000
exec;bolha;go;v1;1000;1;0,030000;NA;0,020000;0,010000;0,005894;NA;0,004000;0,000000;5,0901;0,000030000
exec;bolha;go;v1;1000;2;0,040000;NA;0,030000;0,010000;0,005836;NA;0,005000;0,000000;6,8534;0,000040000
exec;bolha;go;v1;1000;3;0,040000;NA;0,030000;0,010000;0,006587;NA;0,005000;0,000000;6,0723;0,000040000
exec;bolha;go;v1;1000;4;0,040000;NA;0,030000;0,010000;0,005912;NA;0,000000;0,005000;6,7662;0,000040000
exec;bolha;go;v1;1000;5;0,040000;NA;0,030000;0,010000;0,005854;NA;0,005000;0,000000;6,8330;0,000040000
exec;bolha;go;v1;1000;6;0,040000;NA;0,030000;0,010000;0,005988;NA;0,005000;0,000000;6,6802;0,000040000
exec;bolha;go;v1;1000;7;0,040000;NA;0,030000;0,010000;0,005879;NA;0,005000;0,000000;6,8037;0,000040000
exec;bolha;go;v1;1000;8;0,030000;NA;0,020000;0,010000;0,006041;NA;0,004000;0,000000;4,9664;0,000030000
exec;bolha;go;v1;1000;9;0,030000;NA;0,020000;0,010000;0,006135;NA;0,005000;0,000000;4,8900;0,000030000
exec;bolha;go;v1;1000;10;0,040000;NA;0,030000;0,010000;0,005918;NA;0,000000;0,004000;6,7587;0,000040000
exec;bolha;go;v1;10000;1;1,220000;NA;0,880000;0,250000;0,204615;NA;0,203000;0,000000;5,9624;0,000122000
exec;bolha;go;v1;10000;2;1,280000;NA;0,910000;0,270000;0,206970;NA;0,202000;0,004000;6,1845;0,000128000
exec;bolha;go;v1;10000;3;1,280000;NA;0,920000;0,270000;0,205870;NA;0,201000;0,004000;6,2175;0,000128000
exec;bolha;go;v1;10000;4;1,250000;NA;0,910000;0,270000;0,205468;NA;0,200000;0,004000;6,0837;0,000125000
exec;bolha;go;v1;10000;5;1,210000;NA;0,880000;0,250000;0,203736;NA;0,195000;0,008000;5,9390;0,000121000
exec;bolha;go;v1;10000;6;1,320000;NA;0,970000;0,310000;0,210210;NA;0,198000;0,012000;6,2794;0,000132000
exec;bolha;go;v1;10000;7;1,180000;NA;0,850000;0,250000;0,204389;NA;0,203000;0,000000;5,7733;0,000118000
exec;bolha;go;v1;10000;8;1,280000;NA;0,940000;0,280000;0,208232;NA;0,200000;0,008000;6,1470;0,000128000
exec;bolha;go;v1;10000;9;1,340000;NA;0,980000;0,290000;0,207956;NA;0,207000;0,000000;6,4437;0,000134000
exec;bolha;go;v1;10000;10;1,280000;NA;0,910000;0,260000;0,205818;NA;0,205000;0,000000;6,2191;0,000128000
exec;bolha;go;v1;50000;1;31,870000;NA;23,270000;6,530000;5,101505;NA;5,091000;0,020000;6,2472;0,000637400
exec;bolha;go;v1;50000;2;33,290000;NA;24,520000;7,040000;5,150545;NA;5,143000;0,016000;6,4634;0,000665800
exec;bolha;go;v1;50000;3;32,040000;NA;23,420000;6,680000;5,118685;NA;5,131000;0,000000;6,2594;0,000640800
exec;bolha;go;v1;50000;4;32,220000;NA;23,640000;6,570000;5,102303;NA;5,103000;0,008000;6,3148;0,000644400
exec;bolha;go;v1;50000;5;31,990000;NA;23,460000;6,290000;5,083591;NA;5,081000;0,012000;6,2928;0,000639800
exec;bolha;go;v1;50000;6;29,140000;NA;21,000000;5,340000;4,971136;NA;4,971000;0,008000;5,8618;0,000582800
exec;bolha;go;v1;50000;7;29,170000;NA;21,020000;5,430000;4,983654;NA;4,984000;0,008000;5,8531;0,000583400
exec;bolha;go;v1;50000;8;28,940000;NA;20,850000;5,300000;4,964277;NA;4,972000;0,000000;5,8297;0,000578800
exec;bolha;go;v1;50000;9;29,090000;NA;20,910000;5,300000;4,968393;NA;4,971000;0,004000;5,8550;0,000581800
exec;bolha;go;v1;50000;10;29,260000;NA;21,120000;5,340000;4,978422;NA;4,980000;0,008000;5,8774;0,000585200
exec;bolha;go;v1;100000;1;129,540000;NA;94,650000;27,050000;20,535008;NA;20,570000;0,016000;6,3083;0,001295400
exec;bolha;go;v1;100000;2;126,950000;NA;92,860000;24,880000;20,299131;NA;20,296000;0,044000;6,2540;0,001269500
exec;bolha;go;v1;100000;3;120,400000;NA;87,210000;22,740000;19,995909;NA;19,981000;0,048000;6,0212;0,001204000
exec;bolha;go;v1;100000;4;114,830000;NA;82,530000;21,130000;19,803397;NA;19,805000;0,032000;5,7985;0,001148300
exec;bolha;go;v1;100000;5;115,390000;NA;83,000000;21,150000;19,817277;NA;19,837000;0,012000;5,8227;0,001153900
exec;bolha;go;v1;100000;6;116,820000;NA;84,160000;21,500000;19,896150;NA;19,907000;0,024000;5,8715;0,001168200
exec;bolha;go;v1;100000;7;115,300000;NA;82,860000;21,200000;19,849017;NA;19,866000;0,016000;5,8089;0,001153000
exec;bolha;go;v1;100000;8;115,390000;NA;83,010000;21,130000;19,808889;NA;19,817000;0,028000;5,8252;0,001153900
exec;bolha;go;v1;100000;9;116,360000;NA;83,730000;21,390000;19,847221;NA;19,867000;0,012000;5,8628;0,001163600
exec;bolha;go;v1;100000;10;115,490000;NA;83,070000;21,280000;19,838450;NA;19,847000;0,024000;5,8215;0,001154900
