tipo,algoritmo,linguagem,variante,tamanho,execucao,energia_j,energia_cores_j,energia_ram_j,duracao_s,user_time_s,system_time_s,potencia_w,energia_por_elemento_j
exec,bolha,go,v1,10,1,"0,02","0,01","0,01","0,002618",0,0,"7,6388","0,002"
exec,bolha,go,v1,10,2,"0,02","0,01","0,01","0,002961",0,0,"6,7555","0,002"
exec,bolha,go,v1,10,3,"0,02","0,01","0,01","0,003039",0,0,"6,5811","0,002"
exec,bolha,go,v1,10,4,"0,02","0,01","0,01","0,003122",0,0,"6,4051","0,002"
exec,bolha,go,v1,10,5,"0,02","0,01","0,01","0,002504",0,0,"7,987","0,002"
exec,bolha,go,v1,10,6,"0,02","0,01","0,01","0,002817",0,0,"7,0986","0,002"
exec,bolha,go,v1,10,7,"0,02","0,01","0,01","0,002738",0,0,"7,3051","0,002"
exec,bolha,go,v1,10,8,"0,02","0,01","0,01","0,002697",0,0,"7,4167","0,002"
exec,bolha,go,v1,10,9,"0,02","0,01","0,01","0,003013",0,0,"6,6368","0,002"
exec,bolha,go,v1,10,10,"0,02","0,01","0,01","0,00304",0,0,"6,5799","0,002"
exec,bolha,go,v1,100,1,"0,01","0,01",0,"0,002553",0,0,"3,9173","0,0001"
exec,bolha,go,v1,100,2,"0,02","0,01","0,01","0,002986",0,0,"6,6983","0,0002"
exec,bolha,go,v1,100,3,"0,02","0,01","0,01","0,003297",0,0,"6,0657","0,0002"
exec,bolha,go,v1,100,4,"0,02","0,01","0,01","0,003003",0,0,"6,6595","0,0002"
exec,bolha,go,v1,100,5,"0,02","0,02","0,01","0,003517",0,0,"5,6865","0,0002"
exec,bolha,go,v1,100,6,"0,02","0,01","0,01","0,002902",0,0,"6,8908","0,0002"
exec,bolha,go,v1,100,7,"0,02","0,02","0,01","0,003156",0,0,"6,3376","0,0002"
exec,bolha,go,v1,100,8,"0,01","0,01",0,"0,002751",0,0,"3,6353","0,0001"
exec,bolha,go,v1,100,9,"0,02","0,01","0,01","0,002801",0,0,"7,1391","0,0002"
exec,bolha,go,v1,100,10,"0,02","0,01","0,01","0,003353",0,0,"5,965","0,0002"
exec,bolha,go,v1,1000,1,"0,03","0,02","0,01","0,005134",0,0,"5,843","0,00003"
exec,bolha,go,v1,1000,2,"0,03","0,02","0,01","0,005036",0,0,"5,9574","0,00003"
exec,bolha,go,v1,1000,3,"0,03","0,02","0,01","0,005388",0,0,"5,5682","0,00003"
exec,bolha,go,v1,1000,4,"0,04","0,03","0,01","0,005176",0,0,"7,728","0,00004"
