tipo;algoritmo;linguagem;variante;tamanho;execucao;energia_j;energia_j_desvio;energia_cores_j;energia_ram_j;duracao_s;duracao_s_desvio;user_time_s;system_time_s;potencia_w;energia_por_elemento_j
exec;bolha;go;v1;10;1;0,020000;NA;0,010000;0,010000;0,002618;NA;0,000000;0,000000;7,6388;0,002000000
exec;bolha;go;v1;10;2;0,020000;NA;0,010000;0,010000;0,002961;NA;0,000000;0,000000;6,7555;0,002000000
exec;bolha;go;v1;10;3;0,020000;NA;0,010000;0,010000;0,003039;NA;0,000000;0,000000;6,5811;0,002000000
exec;bolha;go;v1;10;4;0,020000;NA;0,010000;0,010000;0,003122;NA;0,000000;0,000000;6,4051;0,002000000
exec;bolha;go;v1;10;5;0,020000;NA;0,010000;0,010000;0,002504;NA;0,000000;0,000000;7,9870;0,002000000
exec;bolha;go;v1;10;6;0,020000;NA;0,010000;0,010000;0,002817;NA;0,000000;0,000000;7,0986;0,002000000
exec;bolha;go;v1;10;7;0,020000;NA;0,010000;0,010000;0,002738;NA;0,000000;0,000000;7,3051;0,002000000
exec;bolha;go;v1;10;8;0,020000;NA;0,010000;0,010000;0,002697;NA;0,000000;0,000000;7,4167;0,002000000
exec;bolha;go;v1;10;9;0,020000;NA;0,010000;0,010000;0,003013;NA;0,000000;0,000000;6,6368;0,002000000
exec;bolha;go;v1;10;10;0,020000;NA;0,010000;0,010000;0,003040;NA;0,000000;0,000000;6,5799;0,002000000
exec;bolha;go;v1;100;1;0,010000;NA;0,010000;0,000000;0,002553;NA;0,000000;0,000000;3,9173;0,000100000
exec;bolha;go;v1;100;2;0,020000;NA;0,010000;0,010000;0,002986;NA;0,000000;0,000000;6,6983;0,000200000
exec;bolha;go;v1;100;3;0,020000;NA;0,010000;0,010000;0,003297;NA;0,000000;0,000000;6,0657;0,000200000
exec;bolha;go;v1;100;4;0,020000;NA;0,010000;0,010000;0,003003;NA;0,000000;0,000000;6,6595;0,000200000
exec;bolha;go;v1;100;5;0,020000;NA;0,020000;0,010000;0,003517;NA;0,000000;0,000000;5,6865;0,000200000
exec;bolha;go;v1;100;6;0,020000;NA;0,010000;0,010000;0,002902;NA;0,000000;0,000000;6,8908;0,000200000
exec;bolha;go;v1;100;7;0,020000;NA;0,020000;0,010000;0,003156;NA;0,000000;0,000000;6,3376;0,000200000
exec;bolha;go;v1;100;8;0,010000;NA;0,010000;0,000000;0,002751;NA;0,000000;0,000000;3,6353;0,000100000
exec;bolha;go;v1;100;9;0,020000;NA;0,010000;0,010000;0,002801;NA;0,000000;0,000000;7,1391;0,000200000
exec;bolha;go;v1;100;10;0,020000;NA;0,010000;0,010000;0,003353;NA;0,000000;0,000000;5,9650;0,000200000
exec;bolha;go;v1;1000;1;0,030000;NA;0,020000;0,010000;0,005134;NA;0,000000;0,000000;5,8430;0,000030000
exec;bolha;go;v1;1000;2;0,030000;NA;0,020000;0,010000;0,005036;NA;0,000000;0,000000;5,9574;0,000030000
exec;bolha;go;v1;1000;3;0,030000;NA;0,020000;0,010000;0,005388;NA;0,000000;0,000000;5,5682;0,000030000
exec;bolha;go;v1;1000;4;0,040000;NA;0,030000;0,010000;0,005176;NA;0,000000;0,000000;7,7280;0,000040000
exec;bolha;go;v1;1000;5;0,030000;NA;0,020000;0,010000;0,004949;NA;0,000000;0,000000;6,0621;0,000030000
exec;bolha;go;v1;1000;6;0,030000;NA;0,020000;0,010000;0,005024;NA;0,000000;0,000000;5,9708;0,000030000
exec;bolha;go;v1;1000;7;0,030000;NA;0,020000;0,010000;0,004982;NA;0,000000;0,000000;6,0220;0,000030000
exec;bolha;go;v1;1000;8;0,030000;NA;0,020000;0,010000;0,005519;NA;0,000000;0,000000;5,4356;0,000030000
exec;bolha;go;v1;1000;9;0,030000;NA;0,020000;0,010000;0,004978;NA;0,000000;0,000000;6,0262;0,000030000
exec;bolha;go;v1;1000;10;0,030000;NA;0,020000;0,010000;0,004920;NA;0,000000;0,000000;6,0970;0,000030000
exec;bolha;go;v1;10000;1;1,190000;NA;0,860000;0,230000;0,201034;NA;0,200000;0,000000;5,9194;0,000119000
exec;bolha;go;v1;10000;2;1,180000;NA;0,830000;0,220000;0,200665;NA;0,200000;0,000000;5,8804;0,000118000
exec;bolha;go;v1;10000;3;1,170000;NA;0,820000;0,220000;0,200405;NA;0,190000;0,000000;5,8382;0,000117000
exec;bolha;go;v1;10000;4;1,150000;NA;0,820000;0,220000;0,201482;NA;0,200000;0,000000;5,7077;0,000115000
exec;bolha;go;v1;10000;5;1,140000;NA;0,820000;0,220000;0,200434;NA;0,190000;0,000000;5,6877;0,000114000
exec;bolha;go;v1;10000;6;1,150000;NA;0,830000;0,220000;0,200743;NA;0,200000;0,000000;5,7287;0,000115000
exec;bolha;go;v1;10000;7;1,140000;NA;0,820000;0,220000;0,200104;NA;0,190000;0,000000;5,6970;0,000114000
exec;bolha;go;v1;10000;8;1,150000;NA;0,830000;0,220000;0,200441;NA;0,200000;0,000000;5,7373;0,000115000
